name,creator,creation_date,updater,update_date,closed_date,message
rails/rails,Rafael Mendonça França,1511845305000,Rafael Mendonça França,1511845305000,NaN,"v5.2.0.beta2"
rails/rails,Rafael Mendonça França,1511805675000,Rafael Mendonça França,1511805675000,NaN,"v5.2.0.beta1"
rails/rails,Matthew Draper,1504815579000,Matthew Draper,1504815579000,NaN,"v5.1.4"
rails/rails,eileencodes,1503603272000,eileencodes,1503603279000,NaN,"v5.1.4.rc1"
rails/rails,Kasper Timm Hansen,1501787590000,Kasper Timm Hansen,1501787590000,NaN,"v5.1.3"
rails/rails,Kasper Timm Hansen,1501528276000,Kasper Timm Hansen,1501528276000,NaN,"v5.1.3.rc3"
rails/rails,Kasper Timm Hansen,1501013716000,Kasper Timm Hansen,1501013716000,NaN,"v5.1.3.rc2"
rails/rails,Kasper Timm Hansen,1500484320000,Kasper Timm Hansen,1500492141000,NaN,"v5.1.3.rc1"
rails/rails,Rafael Mendonça França,1498513740000,Rafael Mendonça França,1498513740000,NaN,"v5.1.2"
rails/rails,Rafael Mendonça França,1497978120000,Rafael Mendonça França,1497978120000,NaN,"v5.1.2.rc1"
rails/rails,Aaron Patterson,1494619099000,Aaron Patterson,1494619099000,NaN,"v5.1.1"
rails/rails,Rafael Mendonça França,1493326572000,Rafael Mendonça França,1493326572000,NaN,"v5.1.0"
rails/rails,Rafael Mendonça França,1492737087000,Rafael Mendonça França,1492737087000,NaN,"v5.1.0.rc2"
rails/rails,Kasper Timm Hansen,1490035740000,Rafael Mendonça França,1490035799000,NaN,"v5.1.0.rc1"
rails/rails,Rafael Mendonça França,1487879592000,Rafael Mendonça França,1487879601000,NaN,"v5.1.0.beta1"
rails/rails,Matthew Draper,1504811771000,Matthew Draper,1504811771000,NaN,"v5.0.6"
rails/rails,eileencodes,1503601784000,eileencodes,1503601784000,NaN,"v5.0.6.rc1"
rails/rails,Kasper Timm Hansen,1501527825000,Kasper Timm Hansen,1501527825000,NaN,"v5.0.5"
rails/rails,Kasper Timm Hansen,1501014195000,Kasper Timm Hansen,1501014195000,NaN,"v5.0.5.rc2"
rails/rails,Kasper Timm Hansen,1500493321000,Kasper Timm Hansen,1500493321000,NaN,"v5.0.5.rc1"
